Location	Tarsus	Keel	Wingarea	Tail	Pectoralmass	Heart	Lungs
Alta	0,32737	0,25663	0,57	0,827298894	22,57	3,03	2,88
Alta	0,31536	0,26291	0,56	0,793415107	20,50	3,55	3,87
Alta	0,33941	0,26198	0,58	0,854876708	23,56	3,14	3,93
Alta	0,32754	0,25893	0,62	0,895063645	19,87	2,79	3,42
Alta	0,31705	0,26178	0,45	0,795991858	17,54	3,29	3,44
Alta	0,30111	0,24123	0,55	0,825738916	20,94	3,85	2,92
Alta	0,33209	0,24062	0,52	0,857287792	22,15	4,06	1,86
Alta	0,30124	0,26409	0,53	0,796560725	22,42	4,15	3,38
Alta	0,32329	0,24865	0,47	0,856605009	14,40	3,11	3,44
Alta	0,34390	0,24898	0,49	0,897457627	19,49	3,73	4,24
Baja	0,28999	0,25731	0,56	0,829603006	19,93	2,29	2,61
Baja	0,31526	0,27178	0,57	0,867227676	22,60	2,81	2,81
Baja	0,30893	0,28323	0,58	0,835893417	24,61	3,13	2,82
Baja	0,31199	0,23641	0,59	0,869225543	21,74	3,23	3,06
Baja	0,32460	0,27307	0,53	0,898305085	20,37	2,74	2,40
Baja	0,33049	0,25714	0,58		20,72	4,01	2,67
Baja	0,29779	0,26849	0,65	0,873038745	20,33	3,36	2,72
Baja	0,31639	0,28295	0,58	0,898344371	25,99	3,64	3,31
Baja	0,30616	0,26157	0,62	0,835541699	24,47	2,81	2,65
Baja	0,30782	0,26011	0,67	0,856545314	19,83	3,10	3,10
